Census Year	Total Population	Census Cost	Average Cost Per Person
1790	3,929,214	44377	0.0113
1800	5,308,483	66109	0.0124
1810	7,239,881	178445	0.0246
1820	9,633,822	208526	0.0216
1830	12,866,020	378545	0.0294
1840	17,069,458	833371	0.048800000000000000
1850	23,191,876	1423351	0.061400000000000000
1860	31,443,321	1969377	0.0626
1870	38,558,371	3421198	0.08870000000000000
1880	50,155,783	5790678	0.11540000000000000
1890	62,979,766	11547127	0.1833
1900	76,303,387	11854000	0.15540000000000000
1910	91,972,266	15968000	0.1707
1920	105,710,620	25117000	0.2376
1930	122,775,046	40156000	0.3271
1940	131,669,275	67527000	0.5129
1950	151,325,798	91462000	0.6044000000000000
1960	179,323,175	127934000	0.7134
1970	203,302,031	247653000	0.012200000000000000
1980	226,542,199	1078488000	0.047600000000000000
1990	248,718,301	2492830000	0.1002
2000	281,421,906	4500000000.0	0.15990000000000000
2010	308,745,538	13000000000.0	0.4211
